貼文編號,粉絲專頁編號,粉絲專頁名稱,標題,說明,時間長度（秒）,發佈時間,說明文字類型,永久連結,多文發佈貼文,是分享的貼文,貼文類型,語言,自訂標籤,贊助內容狀態,資料留言,日期,觀看次數,觸及人數,心情、留言和分享次數,心情數,留言,分享,總點擊次數,其他點擊次數,"符合目標廣告受眾的用戶瀏覽情形（Photo Click）",連結點擊次數,觀看秒,平均觀看秒,"收益估計值 （美元）","廣告 CPM （美元）",廣告曝光次數
1260704379417031,100064324411149,跨界銀行家尼爾斯,"11/30 DevFest Taipei
將分享真實在生產環境使用的業務訓練Agent team應用

11/30 10:30 台大博雅教學館博201見",,0,"11/16/2025 19:39",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0nLJrKHhyofF57RLyBv1si68KoaSpidikZqDa2af96vDPQQBc8U8NAfVBPef6aDMhl&id=100064324411149,0,0,相片,,,,,總期間,187,88,4,3,0,1,8,4,4,,,,,,
1255070479980421,100064324411149,跨界銀行家尼爾斯,"GraphRAG 以知識圖譜串聯記憶，重塑智慧客服推理能力

國泰世華銀行資深資料科學分析師劉岦崱以「讓記憶成群結隊」為題，揭示 GraphRAG 的突破性應用。他表示，傳統 RAG 模型仰賴向量檢索，當對話延展過長或主題跨度太廣，語意易被割裂，導致 LLM 回應冗長卻偏離重點。GraphRAG 以圖譜化知識結構取代單點檢索，藉由節點與邊的關聯輔助生成，既能維持上下文一致，又具備多跳推理能力。

國泰世華的原型系統結合客戶對話、金融新聞與理專背景知識三大資料來源，構築能「理解人」的智慧客服。這樣的系統不只回應問題，更能根據客戶歷史互動與市場變化，主動給出具洞察力的建議。實測結果顯示，GraphRAG 在 RobustQA 測試中的正確率達 86%，遠高於傳統 RAG 的 33~76%。劉岦崱強調，GraphRAG 技術前景看好，但導入時須考量系統複雜度、成本與隱私安全議題，唯有穩健部署方能發揮長期價值。

",,0,"11/10/2025 01:04",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02AzYSzCBqogPGoEQ9rp76kKJUf4evQZP5C2u9HRP3jr6VqBXj22ag1SECYeTqwZmTl&id=100064324411149,0,0,連結,,,,,總期間,224,114,7,6,0,1,12,4,,8,,,,,
1251616253659177,100064324411149,跨界銀行家尼爾斯,"至此，今年初6項新型專利已全部獲得核准，其中2項為一案兩請（新型+專利）

上個月再次提交5項專利，預計1項新型，4項一案兩請

這是生成式AI落地爆發的一年",,0,"11/06/2025 02:10",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02ctjA2evjgysqmUAzk9CiRe5UHmkYuNByU5memwK5domwbp4Bq7PU2ZTPrMwP1XmPl&id=100064324411149,0,0,相片,,,,,總期間,275,120,4,3,0,1,48,25,23,,,,,,
1244660044354798,100064324411149,跨界銀行家尼爾斯,"11/30 我會在Google GDG舉辦的DevFest Taipei 2025分享AI Agent team 落地應用，歡迎有興趣的朋友們來報名，資格審核，免費入場

",,0,"10/28/2025 23:53",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02K545nQMtfsnWHsAtn2q4MBQHF1nKSDZe1H4zdevsJYis4eKxy6She86P8N6FdBF1l&id=100064324411149,0,0,連結,,,,,總期間,34,19,1,1,0,0,0,,,,,,,,
1242725284548274,100064324411149,跨界銀行家尼爾斯,"這是我看過的講解Attention is all you need的影片中講解最好的一部

",,0,"10/26/2025 18:29",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid029f7V9GSXkbaJHCXhmaXQTx3yB3gcWL7QKS9TWdmjoUNDfFmcS2NDMHVmHQRfTP5Nl&id=100064324411149,0,0,連結,,,,,總期間,291,146,5,2,2,1,21,18,,3,,,,,
1239678698186266,100064324411149,跨界銀行家尼爾斯,"Jason Wei這段演講醍醐灌頂，聽到起goose bump，尋找AI場景確實應該用這個系統化的方法

",,0,"10/23/2025 08:41",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02ES51NU65w9rcb7Ym2H8YRDxH6vyCV4SkdUDHg3P2gvLFGs6f9mEN6Toa563vBdu1l&id=100064324411149,0,0,連結,,,,,總期間,154,84,2,1,0,1,1,1,,,,,,,
1204593615028108,100064324411149,跨界銀行家尼爾斯,"Thinking Machine Lab (Mira Murati創立的startup，在還沒有任何產品和工作方向時，光是Mira Murati的號召即獲得20億美元融資，估值百億美元）最近（9/10）發表了一篇文章，探討一個我們已知的問題：

「把AI模型的temperature設為0就能得到完全一致的結果嗎？答案是否，但根本性的原因是什麼？」

Thinking Machine Lab的研究分享解法

————————————

當用同樣的提示詞對所謂「確定性」的AI模型跑1000次測試時，會驚訝地發現竟然會得到數十種不同的輸出結果，這不是因為模型本身的隨機性，而是因為伺服器在處理批次請求時的方式會影響最終結果

這個問題的影響比想像中嚴重，在進行AI模型評估時，基準測試的分數會因為伺服器負載不同而產生高達5%的變化，這讓我們很難準確判斷模型的真實表現，對企業來說更麻煩的是，當客戶回報某個特定問題時，開發團隊往往無法重現相同的情況，因為批次處理的配置已經改變了

對於需要符合法規要求的行業來說，這種不一致性更是致命的，他們無法保證AI系統在審計時會表現出相同的行為模式，此外，許多公司投入大量資源進行A/B測試和模型比較，但這些結果現在看來都可能被這種隱藏的變異性所汙染

前OpenAI技術長Mira Murati創立的Thinking Machines Lab深入研究了這個問題，他們發現關鍵在於三個核心運算：標準化、矩陣乘法和注意力機制，當批次大小發生變化時，這些運算的數值計算就會產生微小但關鍵的差異，最終導致輸出結果的不同

他們的解決方案是開發出批次不變的版本，能夠確保無論批次如何組合，運算結果都保持一致，經過測試，這個方法確實能讓同樣的輸入產生完全相同的輸出，實現真正的確定性推理

當然，這個解決方案也有代價，確定性推理的速度大約比現有方法慢了60%，但對於那些需要絕對一致性的應用場景來說，這個效能損失是值得的

想要知道系統是否受到影響，可以做個簡單測試：用同一個提示詞跑100次，看看會得到多少種不同的結果，對於關鍵性應用，值得考慮採用這種批次不變的核心技術，儘管會有效能成本，對於一般使用者，也應該開始要求AI服務提供商提供確定性模式的選項

我們一直把這種不穩定的行為當作AI系統無法避免的特性，但現在看來這其實是可以解決的技術問題，隨著技術的持續優化，相信這60%的效能成本在不久的將來也會進一步降低，對於需要可靠性勝過速度的應用場景來說，這個發現可能會改變遊戲規則",,0,"09/13/2025 16:12",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0syB3cdzLaMdpXQ37wH4FR3SFDZFkXFi3meg1RqynG36ZxWUHeEPkVaGoYLwbbKcrl&id=100064324411149,0,0,連結,,,,,總期間,256,119,1,0,0,1,5,2,,3,,,,,
1195373489283454,100064324411149,跨界銀行家尼爾斯,"像極了轉扭蛋的 vibe coding 御三家：

openai 的 Codex
google 的 Gemini
Anthropic 的 Claude",,0,"09/02/2025 02:14",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02prsF8p2GQQbKSTtp7R3jVNtCSWrQSeHcphVpdrHAs7eEvU2mCu264SgUzmBDHcUPl&id=100064324411149,0,0,相片,,,,,總期間,317,130,4,3,0,1,19,8,11,,,,,,
1191310746356395,100064324411149,跨界銀行家尼爾斯,"Nano Banana （Gemini 2.5 Flash 圖像功能）真的滿猛的

prompt 1: 改成穿西裝在攝影棚裡拍的證件照
prompt 2: 改成帶有專業感的笑容，with eyes open
prompt 3: 手摸領帶結",,0,"08/27/2025 20:26",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0W3XnEmraeBfuWbUdDKyR8Tz2B24CCooemVnyDPmsYurEqQsq7dHoxq55JAFLh8sql&id=100064324411149,0,0,相片,,,,,總期間,1355,476,53,50,2,1,205,155,50,,,,,,
1174798311340972,100064324411149,跨界銀行家尼爾斯,"尼爾斯在找隊友！我們【數位驅動（DDT）│數數發中心】要一起把金融 AI 做到海外市場（東南亞），兩個角色同步招募中👇

—
我們在做什麼
把生成式 AI、現代化金融科技、智慧金融應用變成可規模化的產品與服務，直接解決真實業務問題。

招募職缺
① DevOps 工程師（台北信義，少量短期出差）
 • 端到端設計 / 開發 / 部署可擴展系統架構，解決金融場景的實戰問題
 • 與產品與研究協作，把 AI 技術落地到 POC 與產線
 • 追蹤技術趨勢、參與論文 / 專利 / 效能優化
 • 加分：AWS / GCP / Azure 經驗，英文佳；越文更佳。  ￼ ￼

② Fullstack / Backend 工程師（台北信義，無外派）
 • 開發與維運雲端服務（前端 / 後端）
 • 依產品需求建置雲端系統，參與架構分析與導入
 • 追蹤技術趨勢、參與論文 / 專利，持續優化產品
 • 加分：AWS 或 GCP 經驗，熱愛 GenAI 開發，英文佳；越文更佳。  ￼

我們希望你
 • 3+ 年軟體／雲端實作經驗，熱愛寫程式、享受把模糊問題做成可量化的產品
 • 熟悉敏捷（Scrum），能與跨域團隊緊密協作交付  ￼

你會得到
 • 金融級題目、大規模用戶與跨國市場的舞台
 • 自上而下支持的 AI 研發投入（含 POC 與論文 / 專利機會）
 • 具競爭力的待遇與完整福利與學習資源  ￼

投遞方式
👉 請優先到國泰金控人才招募官網投遞；亦可參考 104 連結（下方）。職務說明與條件以官方頁面為準。  ￼ ￼

—
職缺連結（複製到貼文即可）：

【數位驅動】DevOps工程師（數數發中心, DDT）
官網：https://recruit.cathayholdings.com/CathaybkHR/servlet/HttpDispatcher/EZA0_0320/jobDetail?applFormNo=I00022316
104 ：https://www.104.com.tw/job/8qfz9

【數位驅動】Fullstack/Backend工程師（數數發中心, DDT）
官網：https://recruit.cathayholdings.com/CathaybkHR/servlet/HttpDispatcher/EZA0_0320/jobDetail?applFormNo=I00022317
104 ：https://www.104.com.tw/job/8qfz7

#Hiring #DevOps #Fullstack #Backend #Cloud #AWS #GCP #Azure #GenAI #FinTech #Taipei #Cathay #DDT #數位驅動 #數數發中心",,0,"08/07/2025 17:59",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0sDVPvojb4nbgbWsaAWLatoDCe343JdqXdJFuatLcq6GrJp6Fd5k1JnnAGbqLn96Xl&id=100064324411149,0,0,連結,,,,,總期間,116,71,1,1,0,0,0,,,,,,,,
1159965519490918,100064324411149,跨界銀行家尼爾斯,"分享給大家 關於AI產品經理的思維，講的很棒

Peter Deng在Uber建立的五種PM，由於這五種PM的立場互異，他的管理哲學是讓這種因立場而產生的矛盾與緊張感公開化且透明化 （當然不是指吵架）

一個超級團隊就要像復仇者聯盟，每個人都很特別，每個人都有自己的想法，確保所有聲音都有出現並且被考慮

Peter Deng的招募人員原則有二：

1. 六個月原則：在他的團隊裡，一個新人在前六個月內如果需要被告知要做什麼的話，那麼就是不適任的人（在他團隊），因為在他需要的是思考者/驅動者，這樣的思維也能讓團隊從上下級轉為合作，從服從指令到協同工作

2. 成長心態識別原則：一個人在不同年齡階段能被教授的內容不同，持續學習的心態是團隊的軟實力

",,0,"07/20/2025 18:07",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02vRUTNj9ceh93M9tsfM6duf6NK4SHrNUG8aLXpPvoebcAJf1kkaKv5nmpndjAXCQKl&id=100064324411149,0,0,連結,,,,,總期間,267,148,1,0,0,1,4,2,,2,,,,,
1157555116398625,100064324411149,跨界銀行家尼爾斯,"Chatgpt出agent

看起來Agent收到指令後操作都是即時顯示在螢幕上，也有verbose因此具可解釋性，基本像盯著一位人類秘書操作電腦完成抽象任務

開發agent的成員在加入agent team前都是在deep research和operator 這兩個team，其中一位研究人員也說agent像是更好版本的deep research + operator的融合

看來如果我們也想靠開源設計出差不多的效果的話，agent的思考要靠快速的deep research架構

",,0,"07/17/2025 18:05",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02RrRpeQv6f8Sb3kXgcxYPcmjCCPeEDLL4i65Nr7rgJ7HQUag9sbwitFqCBJeuZVbsl&id=100064324411149,0,0,連結,,,,,總期間,278,150,2,1,0,1,5,5,,,,,,,
